127.0.0.1 - - [19/Dec/2021:15:59:46 +0900] "GET / HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [19/Dec/2021:15:59:48 +0900] "GET /ezenac/ HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [19/Dec/2021:15:59:48 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [19/Dec/2021:16:00:15 +0900] "GET /ezenac/admin.ad HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [19/Dec/2021:16:01:07 +0900] "GET /ezenac/addItemForm.ad HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [19/Dec/2021:16:03:30 +0900] "GET /ezenac/addItemForm.ad HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [19/Dec/2021:16:03:32 +0900] "GET /ezenac/addItemForm.ad HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [19/Dec/2021:16:03:34 +0900] "GET /ezenac/addItemForm.ad HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [19/Dec/2021:16:04:06 +0900] "GET /ezenac/addItemForm.ad HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [19/Dec/2021:16:04:44 +0900] "POST /ezenac/addItem.ad HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [19/Dec/2021:16:05:30 +0900] "GET /ezenac/addItemForm.ad HTTP/1.1" 200 482
103.223.13.75 - - [19/Dec/2021:16:05:50 +0900] "GET /boaform/admin/formLogin?username=admin&psd=admin HTTP/1.0" 404 721
0:0:0:0:0:0:0:1 - - [19/Dec/2021:16:15:09 +0900] "POST /ezenac/addItem.ad HTTP/1.1" 400 843
0:0:0:0:0:0:0:1 - - [19/Dec/2021:16:15:12 +0900] "GET /ezenac/itemList.ad HTTP/1.1" 200 2097
0:0:0:0:0:0:0:1 - - [19/Dec/2021:16:15:24 +0900] "GET /ezenac/itemInfo.ad?item_code=1 HTTP/1.1" 200 634
0:0:0:0:0:0:0:1 - - [19/Dec/2021:16:15:28 +0900] "POST /ezenac/itemUpdate.ad HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [19/Dec/2021:16:15:30 +0900] "GET /ezenac/itemList.ad HTTP/1.1" 200 2097
0:0:0:0:0:0:0:1 - - [19/Dec/2021:16:15:31 +0900] "GET /ezenac/itemInfo.ad?item_code=1 HTTP/1.1" 200 634
0:0:0:0:0:0:0:1 - - [19/Dec/2021:16:15:32 +0900] "POST /ezenac/itemUpdate.ad HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [19/Dec/2021:16:15:33 +0900] "GET /ezenac/itemList.ad HTTP/1.1" 200 2097
0:0:0:0:0:0:0:1 - - [19/Dec/2021:16:17:56 +0900] "GET /ezenac/itemInfo.ad?item_code=123 HTTP/1.1" 200 649
0:0:0:0:0:0:0:1 - - [19/Dec/2021:16:17:57 +0900] "GET /ezenac/itemList.ad HTTP/1.1" 200 2097
0:0:0:0:0:0:0:1 - - [19/Dec/2021:16:18:05 +0900] "GET /ezenac/ HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [19/Dec/2021:16:18:09 +0900] "GET /ezenac/admin.ad HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [19/Dec/2021:16:18:22 +0900] "GET /ezenac/admin.ad HTTP/1.1" 200 341
