127.0.0.1 - - [06/Jan/2022:09:28:05 +0900] "GET / HTTP/1.1" 200 1327
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:28:08 +0900] "GET / HTTP/1.1" 200 1327
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:28:08 +0900] "GET /resources/css/style.css;jsessionid=8AE520D39D3B54FA20D3A1E67D9B0C36 HTTP/1.1" 200 1619
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:28:09 +0900] "GET /resources/css/items_container.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:28:09 +0900] "GET /resources/css/my_page.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:28:09 +0900] "GET /resources/css/join.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:28:09 +0900] "GET /resources/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:28:09 +0900] "GET /resources/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:28:09 +0900] "GET /resources/css/title_header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:28:09 +0900] "GET /resources/css/order_list.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:28:09 +0900] "GET /resources/css/order.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:28:09 +0900] "GET /resources/css/goods.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:28:09 +0900] "GET /resources/css/my_shopping.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:28:09 +0900] "GET /resources/css/pay.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:28:09 +0900] "GET /resources/css/review.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:28:09 +0900] "GET /resources/css/member_list.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:28:09 +0900] "GET /resources/css/review_list.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:28:09 +0900] "GET /resources/css/main_header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:28:09 +0900] "GET /resources/css/item_info_container.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:28:09 +0900] "GET /resources/css/admin_order_list.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:28:09 +0900] "GET /resources/css/my_board.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:28:09 +0900] "GET /resources/css/qna.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:28:09 +0900] "GET /resources/css/admin_item_list.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:28:10 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:28:31 +0900] "GET /main HTTP/1.1" 200 6663
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:28:31 +0900] "GET /resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:28:31 +0900] "GET /image/C:/images/items/%ED%97%A4%EB%A1%9C%EA%B2%8C%EC%9D%B4%ED%8A%B8%20%EC%9A%94%ED%81%AC%EC%85%94%20%EB%A0%88%EB%93%9C%20%ED%99%8D%EC%B0%A8%2018,000.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:28:31 +0900] "GET /image/C:/images/items/%EB%B8%8C%EB%9D%BC%EC%A7%88%20%EC%82%B0%ED%86%A0%EC%8A%A4%2018,000.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:28:31 +0900] "GET /image/C:/images/items/%EB%AA%A8%EB%A1%9C%EC%BD%94%EB%A1%9C%EC%A6%88%EB%B2%84%EB%93%9C%205,900.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:28:31 +0900] "GET /image/C:/images/items/%ED%97%A4%EB%A1%9C%EA%B2%8C%EC%9D%B4%ED%8A%B8%20%EC%9A%94%ED%81%AC%EC%85%94%20%EA%B3%A8%EB%93%9C%20%ED%99%8D%EC%B0%A8%2019,900.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:28:31 +0900] "GET /image/C:/images/items/%EC%88%98%EB%A7%88%ED%8A%B8%EB%9D%BC%20%EB%A7%8C%EB%8D%B8%EB%A7%81%2015,000.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:28:31 +0900] "GET /image/C:/images/items/%EB%AF%BC%ED%8B%B0%20%EC%B4%88%EC%BD%9C%EB%A0%9B%ED%8B%B0%207,800.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:28:31 +0900] "GET /resources/img/update.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:28:31 +0900] "GET /image/C:/images/items/%EB%8B%B9%EA%B7%80%EC%B0%A8%209,900.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:28:31 +0900] "GET /image/C:/images/items/%EA%B3%BC%ED%85%8C%EB%A7%90%EB%9D%BC%20%EC%95%88%ED%8B%B0%EA%B5%AC%EC%95%84%2030,000.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2022:09:28:31 +0900] "GET /image/C:/images/items/%EB%B3%B4%EB%A6%AC%EC%B0%A8%209,900.png HTTP/1.1" 304 -
